Wavelength_nm,2026-08-02 · calibration,2026-08-02 · blank,2026-08-02 · 0.05,2026-08-02 · 0.2,2026-08-02 · 0.4,2026-08-02 · 4,2026-08-05 · 0.4 · rep 1,2026-08-05 · 0.4 · rep 1,2026-08-05 · 0.4 · rep 2,2026-08-05 · 4 · rep 1,2026-08-05 · 4 · rep 2
419,8431.818181818182,,,,,,252.72727272727272,,,,
420,8187.272727272727,,,,,,264.54545454545456,,,,
421,8027.272727272727,,,,,,271.8181818181818,,,,
422,7909.090909090909,,,,,,264.54545454545456,,,,
423,7820,,,,,,261.8181818181818,,,,
424,7796.363636363636,,,,,,252.72727272727272,,,,
425,7737.272727272727,,,,,,243.63636363636363,,,,
426,7719.090909090909,,,,,,247.27272727272728,,,,
427,7657.272727272727,,,,,,250.9090909090909,,,,
428,7650,,,,,,252.72727272727272,,,,
429,7595.454545454545,,,,,,254.54545454545453,,,,
430,7594.545454545455,,,,,,263.6363636363636,,,,
431,7563.636363636364,,,,,,258.1818181818182,,,,
432,7591.818181818182,,,,,,255.45454545454547,,,,
433,7543.636363636364,,,,,,260,,,,
434,7436.363636363636,,,,,,259.09090909090907,,,,
435,7385.454545454545,,,,,,261.8181818181818,,,,
436,7380,,,,,,262.72727272727275,,,,
437,7319.090909090909,,,,,,259.09090909090907,,,,
438,7253.636363636364,,,,,,262.72727272727275,,,,
439,7220,,,,,,262.72727272727275,,,,
440,7155.454545454545,,,,,,265.45454545454544,,,,
441,7096.363636363636,,,,,,269.09090909090907,,,,
442,7076.363636363636,,,,,,272.72727272727275,,,,
443,6964.545454545455,,,,,,278.1818181818182,,,,
444,6939.090909090909,,,,,,286.3636363636364,,,,
445,6959.090909090909,,,,,,282.72727272727275,,,,
446,6927,,,,,,280.90909090909093,,,,
447,6878.888888888889,,,,,,284.54545454545456,,,,
448,6862.5,,,,,,290,,,,
449,6885.714285714285,,,,,,297.27272727272725,,,,
450,6895,,,,,,290.90909090909093,,,,
451,,,,,,,293.6363636363636,,,,
452,,,,,,,290.90909090909093,,,,
453,,,,,,,280.90909090909093,,,,
454,,,,,,,270.90909090909093,,,,
455,,,,,,,261.8181818181818,,,,
456,,,,,,,255.45454545454547,,,,
457,,,,,,,258.1818181818182,,,,
458,,,,,,,259.09090909090907,,,,
459,,,,,,,254.54545454545453,,,,
460,,,,,,,247.27272727272728,,,,
461,,,,,,,252.72727272727272,,,,
462,,,,,,,250.9090909090909,,,,
463,,,,,,,253.63636363636363,,,,
464,,,,,,,262.72727272727275,,,,
465,,,,,,,270,,,,
466,,,,,,,268.1818181818182,,,,
467,,,,,,,277.27272727272725,,,,
468,,,,,,,285.45454545454544,,,,
469,,,,,,,285.45454545454544,,,,
470,,,,,,,294.54545454545456,,,,
471,,,,,,,294.54545454545456,,,,
472,,,,,,,320.90909090909093,,,,
473,,,,,,,330,,,,
474,,,,,,,340.90909090909093,,,,
475,,,,,,,361.8181818181818,,,,
476,,,,,,,374.54545454545456,,,,
477,,,,,,,407.27272727272725,,,,
478,,,,,,,587.2727272727273,,,,
479,,,,,,,1974.5454545454545,,,,
480,,,,,,,3512.7272727272725,,,,
481,,,,,,,3892.7272727272725,,,,
482,,,,,,,3949.090909090909,,,,
483,,,,,,,3985.4545454545455,,,,
484,,,,,,,4037.2727272727275,,,,
485,,,,,,,4095.4545454545455,,,,
486,,,,,,,4150.909090909091,,,,
487,,,,,,,4240.909090909091,,,,
488,,,,,,,4314.545454545455,,,,
489,,,,,,,4252.727272727273,,,,
490,,,,,,,3000,,,,
491,,,,,,,1626.3636363636363,,,,
492,,,,,,,1397.2727272727273,,,,
493,,,,,,,1516.3636363636363,,,,
494,,,,,,,1654.5454545454545,,,,
495,,,,,,,1808.1818181818182,,,,
496,,,,,,,1920,,,,
497,,,,,,,2058.181818181818,,,,
498,,,,,,,2209.090909090909,,,,
499,,,,,,,2353.6363636363635,,,,
500,,0,113.33333333333333,376.6666666666667,10780,126620,2491.818181818182,2636.6666666666665,1203.3333333333333,63115,47083.333333333336
501,,0,125.71428571428571,380,11004.285714285714,128992.85714285714,2637.2727272727275,2651.4285714285716,1244.2857142857142,63997.142857142855,47990
502,,0,112.5,391.25,11186.25,131636.25,2723.6363636363635,2673.75,1255,64872.5,48630
503,,0,122.22222222222223,396.6666666666667,11294.444444444445,133996.66666666666,2834.5454545454545,2700,1301.111111111111,65448.88888888889,49234.444444444445
504,,0,138,415,11388,135873,2912.7272727272725,2738,1326,65772,49531
505,,0,137.27272727272728,423.6363636363636,11539.09090909091,137309.0909090909,2955.4545454545455,2739.090909090909,1312.7272727272727,65937.27272727272,49753.63636363636
506,,0,144.54545454545453,436.3636363636364,11774.545454545454,140862.72727272726,2980,2791.818181818182,1333.6363636363637,66969.09090909091,50679.09090909091
507,,0,144.54545454545453,444.54545454545456,11931.818181818182,143694.54545454544,3046.3636363636365,2799.090909090909,1320.909090909091,67480.90909090909,51220.90909090909
508,,0,143.63636363636363,453.6363636363636,12035.454545454546,145580.9090909091,3054.5454545454545,2793.6363636363635,1352.7272727272727,67707.27272727272,51268.181818181816
509,,0,141.8181818181818,461.8181818181818,11970,146362.72727272726,3049.090909090909,2777.2727272727275,1327.2727272727273,67195.45454545454,51046.36363636364
510,,0,150.9090909090909,473.6363636363636,11883.636363636364,146120,3008.181818181818,2754.5454545454545,1340,66331.81818181818,50448.181818181816
511,,0,153.63636363636363,480.90909090909093,11666.363636363636,144759.0909090909,2947.2727272727275,2685.4545454545455,1292.7272727272727,65080.90909090909,49487.27272727273
512,,0,159.0909090909091,497.27272727272725,11429.09090909091,142486.36363636365,2854.5454545454545,2641.818181818182,1240.909090909091,63631.818181818184,48178.181818181816
513,,0,180,484.54545454545456,11109.09090909091,139464.54545454544,2774.5454545454545,2547.2727272727275,1180.909090909091,61525.454545454544,46650.90909090909
514,,0,188.1818181818182,501.8181818181818,10799.09090909091,135236.36363636365,2641.818181818182,2460.909090909091,1121.8181818181818,59367.27272727273,44893.63636363636
515,,0,173.63636363636363,466.3636363636364,10378.181818181818,130435.45454545454,2516.3636363636365,2348.181818181818,1042.7272727272727,57082.72727272727,43193.63636363636
516,,0,160.9090909090909,430.90909090909093,9850.90909090909,125353.63636363637,2419.090909090909,2214.5454545454545,991.8181818181819,54637.27272727273,41265.454545454544
517,,0,154.54545454545453,409.09090909090907,9391.818181818182,120085.45454545454,2319.090909090909,2109.090909090909,928.1818181818181,52103.63636363636,39235.454545454544
518,,0,149.0909090909091,391.8181818181818,8910.90909090909,114338.18181818182,2187.2727272727275,1975.4545454545455,896.3636363636364,49587.27272727273,37323.63636363636
519,,0,152.72727272727272,366.3636363636364,8437.272727272728,108766.36363636363,2090.909090909091,1878.1818181818182,834.5454545454545,46881.818181818184,35322.72727272727
520,,0,133.63636363636363,326.3636363636364,7957.272727272727,102930.90909090909,1957.2727272727273,1758.1818181818182,770,44556.36363636364,33468.181818181816
521,,0,120.9090909090909,297.27272727272725,7561.818181818182,97265.45454545454,1863.6363636363637,1620,725.4545454545455,42270,31608.18181818182
522,,0,115.45454545454545,295.45454545454544,7189.090909090909,91986.36363636363,1765.4545454545455,1532.7272727272727,699.0909090909091,39969.09090909091,29885.454545454544
523,,0,113.63636363636364,263.6363636363636,6790,87336.36363636363,1686.3636363636363,1449.090909090909,680.9090909090909,37863.63636363636,28340
524,,0,101.81818181818181,252.72727272727272,6448.181818181818,82593.63636363637,1597.2727272727273,1391.8181818181818,660.9090909090909,36005.454545454544,26923.636363636364
525,,0,80.9090909090909,215.45454545454547,6093.636363636364,78360.90909090909,1557.2727272727273,1318.1818181818182,600,34276.36363636364,25564.545454545456
526,,0,73.63636363636364,212.72727272727272,5829.090909090909,74625.45454545454,1520,1254.5454545454545,589.0909090909091,32722.727272727272,24304.545454545456
527,,0,92.72727272727273,218.1818181818182,5619.090909090909,71056.36363636363,1481.8181818181818,1240.909090909091,597.2727272727273,31372.727272727272,23216.363636363636
528,,0,89.0909090909091,210.9090909090909,5401.818181818182,67602.72727272728,1419.090909090909,1170.909090909091,583.6363636363636,29979.090909090908,22169.090909090908
